from,to
MDZ,HVBF
MDZ,FTR
MDZ,BF
MS,BDA
MS,ENA
MS,SDV
BB,EMK
BB,UHH
BB,GA
BB,EKFM
BB,TNL
BB,PID
KML,VOE
KML,AKLF
KML,KSF
KML,NSNS
KML,TBW
KML,SWT
HSM,EE
HSM,UF
HSM,TP
HSM,MSR
KIT,RS
KIT,AK
KIT,CE
KIT,PG
KIT,SKH
KIT,WDL
KIT,SQ
KIT,VS
KIT,SSZ
KIT,MUH
KIT,DZ
HSH,HB
HSH,EDG
HSH,WH
HSH,SHT
HSH,AR
HSH,PT
HSE,EMA
HSE,DBK
HSE,SLZ
HSE,CRH
HSE,TS
HSE,HS
HSB,DAS
HSB,MBR
HSB,WGDN
HSB,GL
HSB,SM
HSB,WM
HSAS,UJV
HSAS,TL
HSAS,UMR
HSAS,HMR
HSAS,SESR
HSA,MKE
HSA,FE
HSA,GG
HSA,JK
HSA,SKN
HSA,MWR
HSKZ,SKT
HSKZ,AL
HSKZ,MDR
HSKZ,BEBN
HSKZ,TRE
HSF,EF
HSF,ALM
HSF,MRM
HSF,DSK
HSF,JSZ
HSF,MZ
DFHS,EE
IFM,EE
SMM,EE
DFG,EE
EB,EE
RIDLI,EE
DAA,EE
SDDV,EE
FES,EE
LCI,TP
AMM,TP
VDPMUE,TP
SPD,UF
BDS,AL
ESG,AL
KRN,AL
TSFWF,AL
AH,BEBN
BDA,BEBN
KAKIK,BEBN
B,BEBN
PBGZDDPBUB,BEBN
DIFN,BEBN
BFB,BEBN
BuBa,BEBN
DSD,BEBN
IFS,BEBN
ETHWPF,RS
FRS,RS
CFROED,RS
OEBUVNW,RS
SN,RS
KSA,AK
CHBS,AK
FIFAUIS,CE
CFASRD,CE
VFDF,CE
OFFISII,CE
BITUNM,CE
ESB,CE
ADADT,CE
BADW,CE
VDV,HB
VDV,PG
TUB,WDL
MPI,WDL
ALS,WDL
JQS,SQ
BMWSHQ,SQ
ED,SQ
SR,SKT
LAIBW,SKT
BWI,SKT
VDMABW,SKT
TUIG,DZ
HBS,SSZ
DEK,SSZ
DSS,WH
EEBW,AR
PHK,AR
TUM,PT
IEK,MZ
TF,MZ
FFGJ,DBK
BEB,TS
W,GL
UU,UJV
G,UJV
EISPE,UJV
EFB,UJV
H,MKE
DT,MKE
RB,MKE
DW,MKE
KIT,MKE
LMTGO,FE
SKE,AK
IHK,EDG
TUM,PT
BDDA,HS
ES,HS
DDS,HS
FIDW,HS
DFG,RS
DFG,VS
DFG,MUH
VDV,HB
LAIBW,DBK
VDMABW,DBK
VDMABW,TL
UU,MWR
