id,label,sex,birth,type
THHS,Theodor Heuss Haus Stuttgart,0,na,1
EL,EVN-Lichttechnik GmbH,0,na,1
LM,Liebenzeller Mission,0,na,1
PS,Pforzheimer Stadtmission,0,na,1
SG,Süddeutscher Gemeinschaftsverband,0,na,1
ETFL,Evangelisch Theologische Fakultät Leuven,0,na,1
KDL,Kulturstiftung der Länder,,,
HKG,Hessische Kulturstiftung,,,
SSK,"Stiftung Saarländischer Kulturbesitz
",,,
VM,Villa Massimo,,,
KSS,Kuratorium Schloss Solitude,,,
IJOSA,International Journal of Selection and Assessment,,,
ESF,European Science Foundation,,,
DF,Deutsche Forschungsgemeinschaft,,,
KIU,Karlshochschule International University,,,
HSP,Hochschule Pforzheim,,,
FDSM,Fachbeirat der Stadt München,0,na,1
KFSIM,Kommission für Stadtgestaltung in München,0,na,1
GDSFIB,Gestaltungsbeirat der Stadt Freiburg im Breisgau,0,na,1
GR,Gestaltungsbeirat Reutlingen ,0,na,1
GeRe,Gestaltungsbeirat Reutlingen,0,na,1
RG,Remstal Gartenschau 2019,0,na,1
BaBe,Baukollegium Berlin,0,na,1
BCD,Berlin Creative District,0,na,1
BDSZ,Baukollegium der Stadt Zürich,0,na,1
KuSt,Kunstmuseum Stuttgart,0,na,1
ADB,Ankaufskommission des Bundes ,0,na,1
CGS,Camille Graeser Stiftung ,0,na,1
WSS,Walter Stöhrer Stiftung,0,na,1
StSt,Stankowski-Stiftung ,0,na,1
KBW,Kunststiftung Baden-Württemberg,0,na,1
KL,Kunstmuseum Liechtenstein,0,na,1
MUFBW,Medien- und Film GmbH Baden-Württemberg,0,na,1
ZKM,ZKM,0,na,1
KuMa,Kunsthalle Mannheim,0,na,1
KOG,Kunstforum Ostdeutsche Galerie,0,na,1
DeMu,Deutscher Museumsbund,0,na,1
ADKB,Akademie der Künste Berlin,0,na,1
RWTHA,Rheinisch-Westfälische Technische Hochschule Aachen,0,na,1
SPD,Sozialdemokratische Partei Deutschlands,0,na,1
VO,Virtueller Ortsverein,0,na,1
IAOLANA,International Association of Lawyers against Nuclear Arms,0,na,1
DHUP,Deutschen Hospitz- und Palliativverbands,0,na,1
ELSAD,ELSA-Deutschland e.V.,0,na,1
BERUR,Bundesverband ehrenamtlicher Richterinnen und Richter e.V.,0,na,1
RBS,Robert Bosch Stiftung,0,na,1
GPI,Global Perpective Initiative,0,na,1
KuSt,Karl Schlecht Stiftung,0,na,1
UT,Universität Tübingen,0,na,1
UNICEF,UNICEF,0,na,1
BüSt,Bürgerstiftung Stuttgart,0,na,1
DeRe, Deutsche Rettungsflugwacht e. V. ,0,na,1
EFC,European Foundation Center,0,na,1
SPARDAB,Sparda-Bank ,0,na,1
T,Trumpf,0,na,1
BFBUF,Bundesministerium für Bildung und Forschung,0,na,1
DPE,Deutsche Private Equity,0,na,1
DFL,Deutsche Fußball Liga GmbH,0,na,1
SCF,SC Freiburg,0,na,1
WGF,Wissenschaftliche Gesellschaft Freiburg,0,na,1
UniFre,Universität Freiburg ,0,na,1
KEG,Karg-Elert-Gesellschaft,0,na,1
SWR,Süd-West-Rundfunk,0,na,1
VDM,Verband deutscher Musikschulen,0,na,1
FoKa,Forschungszentrum Karlsruhe,0,na,1
TUD,Technische Universität Darmstadt,0,na,1
KHBS,Karl Heinz Beckurts-Stiftung,0,na,1
ZFKUM,Zentrum für Kunst und Medientechnologie ,0,na,1
FKUK,Fördergemeinschaft Kunst Karlsruhe,0,na,1
KIFT,Karlsruher Institut für Technologie ,0,na,1
GZVVL,Gesellschaft zur Verwertung von Leistungsschutzrechten,0,na,1
BrSo,Brandenburgische Sommerkonzerte ,0,na,1
DSFCC,Deutsche Standards für Corporate Collections ,0,na,1
SPK,Stiftung Preußischer Kulturbesitz,0,na,1
WD,Weltkulturforum Dresden ,0,na,1
VBIKKB,VBIK-Kulturausschuss Berlin,0,na,1
DM,Dialogforum Musikwirtschaft,0,na,1
VUT,Verband unabhängiger Tonträgerhersteller,0,na,1
GEMA,GEMA,0,na,1
KDDW,Kulturkreis der Deutschen Wirtschaft e.V.,0,na,1
RCBN,Rotary Club Berlin Nord,0,na,1
SK,Singende Kindergärten,0,na,1
DrBa,Dresdner Bank AG,0,na,1
MFWFUKBW,"Ministerium für Wissenschaft, Forschung und Kunst Baden-Württemberg",0,na,1
,,,,
LFS,Landesinstitut für Schulentwicklung ,0,na,1
UM,Universitätsmedizin Mannheim,0,na,1
UnHe,Universität Heidelberg,0,na,1
LBW,Landesrektorenkonferenz Baden-Württemberg,0,na,1
KSKDSVNZK,katholischen Studentenverbindung K.D.St.V. Normannia zu Karlsruhe,0,na,1
IAOG,International Association of Geomorphologists,0,na,1
DADT,Deutsche Akademie der Technikwissenschaften,0,na,1
MRN,Metropolregion Rhein-Neckar,0,na,1
DAI,Deutschen Archäologischen Instituts,0,na,1
DADNL,Deutsche Akademie der Naturforscher Leopoldina ,0,na,1
KDFHB,Kultur der Freien Hansestadt Bremen,0,na,1
Gr,Greenpeace,0,na,1
TiBr,Tierschutzverein Bremen,0,na,1
Ar,Arbeitswohlfahrt,0,na,1
ASB,Arbeiter-Samariter-Bund,0,na,1
DSFCC,Deutsche Schillergesellschaft,0,na,1
KuBr,Kunstverein Bremen,0,na,1
BP,Bremer Philharmoniker,0,na,1
JKSB,Jugend Kunst Stiftung Bremen ,0,na,1
ThBr,Theater Bremen ,0,na,1
FM,Focke-Museum ,0,na,1
ÜM,Übersee-Museum,0,na,1
MuBr,Musikfeste Bremen,0,na,1
GV,Glocke Veranstaltungs GmbH,0,na,1
BDI,Bundesministeriums des Innern,0,na,1
ZJ,Zentralarchiv Juden,0,na,1
FH,Finanzministerkonferenz Hessen,0,na,1
UnHe,Universität Heidelberg,0,na,1
SDV,Studienstiftung des deutschen Volkes ,0,na,1
HIAA,Heidelberger Inspiration am Abend ,0,na,1
LDJGIH,Landesverband der Jüdischen Gemeinden in Hessen,0,na,1
ZDJID,Zentralrat der Juden in Deutschland,0,na,1
JGO,Jüdische Gemeinde Offenbach,0,na,1
LBS,Ludwig-Börne-Stiftung,0,na,1
ESKZS,Europäische Stiftung Kaiserdom zu Speyer,0,na,1
JWGU,Johann Wolfgang Goethe-Universität,0,na,1
IBPFV,Ignatz-Bubis-Preis für Verständigung,0,na,1
SDFDEJE,Stiftung Denkmal für die ermordeten Juden Europas,0,na,1
DNB,Deutsche Nationalstiftung,0,na,1
FFJSUK,Fördervereins für Jiddische Sprache und Kultur e. V,0,na,1
ASF,Aktion Sühnezeichen Friedensdienste,0,na,1
SJ,Stiftung 20. Juli 1944,0,na,1
OIDHS,Oper in der Hersfelder Stiftsruine,0,na,1
FDDF,Freundeskreis des Deutschen Filminstituts e. V,0,na,1
WRG,Walther Rathenau Gesellschaft e. V.,0,na,1
ZDF,Zweite Deutsche Fernsehen,0,na,1
AJC,American Jewish Committee,0,na,1
SFI,Sigmund-Freud-Institut,0,na,1
LBI,Leo Baeck Instituts,0,na,1
SADWZL,Sächsischen Akademie der Wissenschaften zu Leipzig,0,na,1
JMB,Jüdisches Museum Berlin,0,na,1
LB,Leutkircher Bank,0,na,1
FDP,FDP,0,na,1
ADMW,ADMW GmbH,0,na,1
EW,Europäisches Wirtschaftsforum,0,na,1
BDW,Bundesverbands Deutscher Mittelstand,0,na,1
UR,Universität Regensburg,0,na,1
UZ,Universität Zürich,0,na,1
SNF,Schweizerischer Nationalfonds SNF,0,na,1
ESG,Elektro-Schillinger GmbH,0,na,1
IHK,IHK Industrie- und Handelskammer ,0,na,1
OZV,OZ-Verlags-GmbH,0,na,1
MGM,Media Group Medweth GmbH,0,na,1
SDW,Stiftung der Deutschen Wirtschaft,0,na,1
VDU,Verband deutscher Unternehmerinnen,0,na,1
HUN,Heidelberger Unternehmerinnen e.V.,0,na,1
RCH,Rotary-Club Heidelberg Neckar,0,na,1
FHF,Freundeskreis des Heidelberger Frühlings,0,na,1
FTP,Freundeskreis des Theaters & Philharmonischen Orchesters,0,na,1
FKM,Freundeskreis des Kurpfälzischen Museums,0,na,1
THG,Tiergartenfreunde Heidelberg e.V.,0,na,1
FLBW,Führungsakademie des Landes Baden-Württemberg,0,na,1
MLP,MLP Finanzberatung SE,0,na,1
GSCN,German Stem Cell Network (GSCN),0,na,1
HHG,Hi-stem - Heidelberg gGmbH,0,na,1
DKZ,Deutsches Krebsforschungszentrum,0,na,1
NCT,Nationales Centrum für Tumorerkrankungen,0,na,1
FHPM,Fachhochschule Potsdam,0,na,1
AW,Arbeiterwohlfahrt,0,na,1
HCA,Helsinki Citizens’ Assembly (HCA),0,na,1
DTSG,Deutsch - Tschechische und Slowakische Gesellschaft e.V.,0,na,1
FDS,Forum Demokratischer Sozialismus,0,na,1
HBA,Hochschule der Bundesagentur für Arbeit,0,na,1
DTG,Deutsch- Tschechisches Gesprächsforum,0,na,1
OUI,Open University of Israel e.V.,0,na,1
WPU,Weißer Pfau e.V.,0,na,1
EBW,Evaluationsagentur Baden-Württemberg,0,na,1
